('2007-05', 40.51666666666667)
('2009-04', 2.8000000000000007)
('2013-05', 47.92500000000001)
('2000-04', 36.16666666666668)
('2006-02', 34.75000000000005)
('2007-09', 61.86666666666668)
('2008-10', 59.566666666666684)
('2011-09', 52.56666666666667)
('2012-04', 62.78333333333334)
('2016-03', 19.962500000000006)
('2002-03', 26.933333333333337)
('2004-04', 20.61666666666667)
('2004-12', 24.25)
('2009-11', 64.21666666666665)
('2015-11', 63.88750000000002)
('2000-12', 63.26666666666667)
('2001-05', 33.983333333333334)
('2009-09', 29.950000000000003)
('2012-11', 68.64999999999999)
('2010-09', 43.08333333333335)
('2015-03', 42.612500000000004)
('2004-07', 95.99999999999996)
('2010-08', 108.05)
('2016-06', 47.662499999999994)
('2016-01', 22.325)
('2009-07', 113.16666666666664)
('2003-03', 6.8999999999999995)
('2009-02', 24.78333333333335)
('2001-06', 26.76666666666667)
('2003-10', 45.58333333333334)
('1996-12', 39.55000000000003)
('1997-10', 58.15000000000001)
('1998-02', 50.03333333333334)
('1998-11', 28.96666666666668)
('1995-11', 31.600000000000005)
('1997-01', 5.783333333333334)
('1999-04', 54.55000000000001)
('1996-03', 10.033333333333331)
('1998-04', 44.41666666666668)
('1993-07', 95.39999999999999)
('1995-07', 43.6)
('1997-09', 43.56666666666667)
('1993-05', 21.100000000000005)
('1994-02', 22.500000000000004)
('1993-11', 42.80000000000003)
('1994-05', 25.100000000000005)
('1994-09', 94.59999999999991)
('1999-05', 27.38333333333334)
('1999-01', 61.933333333333394)
('1995-01', 26.00000000000001)
('1996-08', 37.716666666666676)
('1998-07', 85.16666666666664)
('1994-06', 45.10000000000002)
('1995-02', 31.800000000000004)
('1995-09', 134.55)
('1997-03', 9.549999999999999)
('1995-10', 20.86666666666666)
('1993-09', 40.6)
('1993-10', 43.2)
('1994-11', 15.699999999999992)
('1994-04', 23.100000000000005)
('1996-07', 84.03333333333329)
('1998-08', 86.46666666666664)
('1996-11', 67.11666666666665)
('1997-02', 35.43333333333336)
('1998-01', 44.3166666666667)
('1993-06', 56.5)
('1996-02', 15.733333333333333)
('1998-09', 56.83333333333335)
('1999-06', 50.25000000000001)
('1999-09', 55.51666666666667)
('1995-05', 26.00000000000002)
('1997-12', 69.60000000000002)
('1998-10', 53.41666666666671)
('1999-02', 25.150000000000002)
('1993-12', 37.10000000000003)
('1996-01', 10.416666666666663)
('1994-01', 22.099999999999994)
('1994-10', 33.20000000000001)
('1996-05', 63.23333333333335)
('1996-10', 22.45)
('1997-04', 25.950000000000006)
('1999-11', 18.45)
('1999-10', 18.549999999999997)
('1998-03', 33.90000000000003)
('1999-08', 54.80000000000002)
('1998-05', 38.36666666666669)
('1997-06', 86.98333333333335)
('1994-12', 50.90000000000001)
('1995-06', 97.19999999999987)
('1993-04', 0.0)
('1996-04', 8.1)
('1996-06', 51.666666666666686)
('1996-09', 57.46666666666667)
('1998-06', 88.88333333333333)
('1998-12', 59.38333333333336)
('1995-08', 16.049999999999997)
('1994-03', 37.60000000000004)
('1997-05', 60.800000000000004)
('1997-07', 41.96666666666667)
('1997-08', 24.61666666666667)
('1995-12', 5.116666666666666)
('1997-11', 64.45000000000006)
('1999-12', 66.00000000000004)
('1999-03', 42.233333333333384)
('1999-07', 29.08333333333334)
('1994-07', 0.0)
('1995-03', 34.40000000000001)
('1993-08', 80.70000000000005)
('1994-08', 58.80000000000002)
('1995-04', 61.7)
